mp,glow,plow,mg,phigh,freq,ghigh
-0.07725359507745871,0.0997979147379694,0.1979203371761566,0.8911200133688234,0.17278759594743903,0.2,0.09903343888091298
-0.04203285197440925,0.1827939067489791,0.06911503837897498,0.8488958422804572,0.06911503837897576,0.3,0.17719017675323967
-0.12171763662633764,0.17301668509529766,0.25132741228718347,0.9483262779030227,0.24818581963359368,0.5,0.17733241960442736
-0.2165553428671285,0.2276937065261806,0.2199114857512852,0.9684136081769767,0.23561944901923446,0.7,0.24503539924646223
-0.2684617303665845,0.2028039005127542,0.32672563597333804,1.0867407476216568,0.32986722862692874,1.1,0.22279532216930997
-0.46784954193752043,0.31317489773801577,0.3832743037379544,1.1972702231847692,0.2984513020910305,1.3,0.35546862570910864
-0.7220469079474978,0.26241702293898106,0.5057964172279563,1.45094655371981,0.48380526865282825,1.7,0.3864927783494023
-0.987808290352377,0.45352728457635516,0.5246459731494952,1.5039043482110652,0.6188937527571894,1.9,0.5849136760625058
-1.4627826048366228,0.5008846528918343,0.8607963870836026,1.5329158701927905,0.6346017160251387,2.3,0.8310965241172814
-2.307284393116096,0.6498630690424094,1.1026990214100167,0.9501465280976465,0.9738937226128361,2.9,0.8622786354857493
-2.403610939253538,0.18243331015378095,0.9456193887305271,0.41007137550104367,0.8199556825869365,3.7,0.28048168179400834
-2.360107255865902,0.2140259611675035,0.6974335690969338,0.33033241982381434,0.7634070148223198,4.3,0.24007490784713614
-2.546533448775812,0.11723972871098981,0.8670795723907823,0.31062570587400945,0.735132680940012,5.3,0.18604866170314477
-2.620937431865987,0.24554352636643023,1.2911945806254046,0.31277042177611813,0.7257079029792424,6.1,0.2969893137819283
-3.3052507792372525,0.22573601710481672,2.704911274740812,0.25595471584861873,1.83154851704285,7.9,0.44225627091606967
-4.057041342671389,0.15986133136526526,2.3593360828459344,0.1880381230615435,1.5959290680236151,8.9,0.29421850404783423
-5.210586866416142,0.026004540652015143,2.9562386870279953,0.03995049145974885,3.135309468282614,11.3,0.5109145654457324
-8.427190724063214,0.09092182046641822,1.6807520696705396,0.10324748630165265,2.72690242331594,13.7,0.1808915471632252
