gdel,mp,mg,freq,pdel,ghigh,glow
0.006324555320336759,-0.4051845959864391,0.014035638241496284,0.2,0.38263559688037413,0.006324555320336759,0.006324555320336759
0.03162277660168379,-0.7916284869149941,0.04394214427679277,0.3,0.5818590894709822,0.03162277660168379,0.03162277660168379
0.06008327554319921,-1.3397947817831954,0.0821525714762334,0.5,0.99345882657961,0.06008327554319921,0.06008327554319921
0.037947331922020544,-1.9664093123378563,0.13336698336970826,0.7,0.3162277660168381,0.037947331922020544,0.037947331922020544
0.06957010852370436,-2.2132223464984073,0.2320200062359685,1.1,0.99345882657961,0.06957010852370436,0.06957010852370436
0.044271887242357304,-2.1378648993780587,0.2251219292712475,1.3,0.132815661727072,0.044271887242357304,0.044271887242357304
0.037947331922020544,-2.466611033726614,0.2848082287086661,1.7,0.08854377448471464,0.037947331922020544,0.037947331922020544
0.037947331922020544,-2.4557538757151125,0.27684852325860004,1.9,0.10435516278555655,0.037947331922020544,0.037947331922020544
0.037947331922020544,-2.642280003797761,0.3020556387838557,2.3,0.07273238618387275,0.037947331922020544,0.037947331922020544
0.044271887242357304,-2.7784243686126473,0.2846717130364283,2.9,0.13914021704740875,0.044271887242357304,0.044271887242357304
0.03478505426185217,-2.838934910057922,0.2910297632780086,3.7,0.99345882657961,0.03478505426185217,0.03478505426185217
0.04743416490252569,-2.722988311805237,0.3440582514992841,4.3,0.99345882657961,0.04743416490252569,0.04743416490252569
0.14546477236774552,-2.887742477308037,0.38078861033970074,5.3,0.99345882657961,0.14546477236774552,0.14546477236774552
0.0790569415042095,-2.9779407272103025,0.5580991921867203,6.1,0.99345882657961,0.0790569415042095,0.0790569415042095
0.4110960958218896,-3.541359910887227,0.8132561575087293,7.9,0.99345882657961,0.4110960958218896,0.4110960958218896
0.373148763899869,-4.104452640788271,1.05586786925484,8.9,0.99345882657961,0.373148763899869,0.373148763899869
0.6324555320336759,-4.874279383937138,0.7022936802726719,11.3,0.99345882657961,0.6324555320336759,0.6324555320336759
0.6324555320336759,-8.104252623583246,0.9144632075400293,13.7,0.99345882657961,0.6324555320336759,0.6324555320336759
