"freq","pre","post","change","moth"
0.2,34.11476496965738,33.496148449617586,0.9818666046625264,"2024_07_09"
0.3,22.65674764230435,31.8692222505959,1.4066106377550038,"2024_07_09"
0.5,17.5262602426217,10.376850638646344,0.5920744354469373,"2024_07_09"
0.7,10.854131729797324,8.678847903828533,0.7995893287348734,"2024_07_09"
1.1,9.926449265853963,9.53976954386647,0.9610455147020562,"2024_07_09"
1.3,7.589277780473193,5.994680895266991,0.7898881907697443,"2024_07_09"
1.7,4.602523743038016,3.9437899336328948,0.8568755217392303,"2024_07_09"
1.9,6.119762987879901,6.905598356383275,1.12840944495068,"2024_07_09"
2.3,5.1570722939019875,3.812862784267638,0.7393463901555504,"2024_07_09"
2.9,2.9665422238082253,2.770470631407409,0.9339056795392199,"2024_07_09"
3.7,2.463522429556143,1.7811422600447635,0.7230063094516558,"2024_07_09"
4.3,2.715846333900956,2.3787221484410406,0.8758677244541737,"2024_07_09"
5.3,2.3851139888659976,1.92685916970408,0.8078687973400405,"2024_07_09"
6.1,0.49356608671133245,1.6713619866663223,3.3862982722389448,"2024_07_09"
7.9,3.3426209858521028,4.47544006181168,1.3389014431352881,"2024_07_09"
8.9,1.2273557128730157,3.692215983720032,3.0082688702179325,"2024_07_09"
11.3,5.1195790113029185,8.971527726082714,1.752395598598152,"2024_07_09"
13.7,2.4324677621310933,6.756653313501418,2.777694906666262,"2024_07_09"
16.7,7.929938821729191,8.13020245926421,1.0252541213793815,"2024_07_09"
19.9,9.283372632445365,23.841179615775147,2.568159284315517,"2024_07_09"
0.2,54.72271495556554,45.15952409162634,0.8252427557422096,"2024_06_24_000"
0.3,36.475109015384824,19.56125639025819,0.536290553155234,"2024_06_24_000"
0.5,16.336823321445717,18.341527303332143,1.1227107585386447,"2024_06_24_000"
0.7,20.094825910105662,15.550047375015284,0.7738333959487146,"2024_06_24_000"
1.1,14.607530818541111,13.033768437449039,0.8922636275328257,"2024_06_24_000"
1.3,12.726377561616419,5.888256139629882,0.46268123911310355,"2024_06_24_000"
1.7,10.993040479456464,8.04989631218571,0.7322720522342447,"2024_06_24_000"
1.9,11.216500017028839,8.78640378607666,0.783346299891872,"2024_06_24_000"
2.3,11.406605090103943,5.605581002725251,0.4914328986096397,"2024_06_24_000"
2.9,7.40678336268172,5.715677218090868,0.7716814355457853,"2024_06_24_000"
3.7,7.431751045034678,4.253161554617575,0.5722960213339237,"2024_06_24_000"
4.3,7.718331548376116,3.2254531344071657,0.41789512593376205,"2024_06_24_000"
5.3,1.732503635908955,2.4833876779905877,1.4334097929253018,"2024_06_24_000"
6.1,2.639960427727967,1.4867313736133805,0.5631642648874506,"2024_06_24_000"
7.9,1.9952598906773,1.8625056035178738,0.9334651652249862,"2024_06_24_000"
8.9,2.480912388964774,1.8885908117518286,0.7612484907376729,"2024_06_24_000"
11.3,3.7368547381423025,12.78383386186032,3.421014397850404,"2024_06_24_000"
13.7,12.86194309593281,7.471774689484622,0.5809211433883065,"2024_06_24_000"
16.7,1.4317209290516433,14.15799904602544,9.888797990404141,"2024_06_24_000"
19.9,98.4815615136854,30.13001538530971,0.30594575189714796,"2024_06_24_000"
0.2,42.151938967824925,23.136946994966966,0.548894014404122,"2024_06_20"
0.3,30.250374280164163,20.670688734022757,0.683320098540962,"2024_06_20"
0.5,19.12508660418469,14.720107189199057,0.7696753219396247,"2024_06_20"
0.7,21.048190189336438,9.528832043924906,0.4527150295683123,"2024_06_20"
1.1,11.145095231743753,7.779147442137432,0.6979884227440839,"2024_06_20"
1.3,13.415101545958068,5.827281966460665,0.4343822479835353,"2024_06_20"
1.7,9.1669822648499,5.99772916063338,0.6542752006438607,"2024_06_20"
1.9,8.90320756782899,5.759953361393096,0.6469526086537862,"2024_06_20"
2.3,10.463742236105935,4.419456530990531,0.42235907873770645,"2024_06_20"
2.9,6.143204121545655,3.279120538421493,0.5337801696871588,"2024_06_20"
3.7,5.865369632194406,2.472722016785911,0.4215799125793191,"2024_06_20"
4.3,3.978488622654523,4.282258871625539,1.076353177747266,"2024_06_20"
5.3,3.9984168409155814,3.477616287446594,0.8697483093459232,"2024_06_20"
6.1,2.140349356151914,2.6106598277143886,1.2197353764751917,"2024_06_20"
7.9,1.1475355985170148,2.4036286678443206,2.094600525639973,"2024_06_20"
8.9,9.042215403542306,8.636671970729866,0.9551499920413787,"2024_06_20"
11.3,9.26434479585423,5.5248846802815725,0.5963600019241452,"2024_06_20"
13.7,16.20447607135104,10.403319561102187,0.6420028339882522,"2024_06_20"
16.7,6.037344372683834,2.0541846003917272,0.3402463854283274,"2024_06_20"
19.9,7.862565790869672,7.097923493259205,0.9027490112072066,"2024_06_20"
0.2,34.85429617329843,48.88847852755414,1.4026528690889812,"2024_06_06"
0.3,27.28640045155944,27.354699494723647,1.0025030433488453,"2024_06_06"
0.5,16.28673514853172,15.356214783666426,0.9428663660101834,"2024_06_06"
0.7,12.340416622363378,12.795257356027314,1.0368578102006436,"2024_06_06"
1.1,10.0892118547101,12.521725585817597,1.241100471090999,"2024_06_06"
1.3,7.204837561444011,10.960263222413968,1.521236687009677,"2024_06_06"
1.7,8.956001107975668,10.130177902610292,1.1311050300774275,"2024_06_06"
1.9,6.406655441586804,8.01830403286127,1.25155849350239,"2024_06_06"
2.3,5.811412045351667,7.583121300783935,1.3048672580099345,"2024_06_06"
2.9,5.015052164467951,5.705623830747588,1.1376997972568248,"2024_06_06"
3.7,3.607596546463682,7.205280889546162,1.9972524080080634,"2024_06_06"
